clone_name_sup4,clone_name_sup5,library_name_sra,sample_name_sra,eaw_id,srr_accession,compound,is_parent,sra_batch,spots,bases,size_MB
MMV085203--6R3a,,MMV085203--6R3a,MMV085203--6R3a,EAW312,SRR10985718,MMV085203,False,original,3963590,792718000,322
MMV085203--2R3a,,MMV085203--2R3a,MMV085203--2R3a,EAW311,SRR10985719,MMV085203,False,original,3683368,736673600,296
MMV085203--1R3a,,MMV085203--1R3a,MMV085203--1R3a,EAW310,SRR10985720,MMV085203,False,original,4839795,967959000,388
MMV085203--11R3a,MMV085203-11R3a,MMV085203--11R3a,MMV085203--11R3a,EAW314,SRR10985721,MMV085203,False,original,4471879,894375800,355
MMV019017--R9-2,,MMV019017--R9-2,MMV019017--R9-2,EAW044,SRR10985722,MMV019017,False,original,4917934,983586800,557
Camptothecin--R4b-2,,Camptothecin--R4b-2,Camptothecin--R4b-2,EAW500,SRR10985723,camptothecin,False,original,7798257,1559651400,656
MMV019017--R8-2,,MMV019017--R8-2,MMV019017--R8-2,EAW043,SRR10985724,MMV019017,False,original,5101131,1020226200,575
MMV019017--R7-2,,MMV019017--R7-2,MMV019017--R7-2,EAW042,SRR10985725,MMV019017,False,original,3810725,762145000,431
MMV019017--R4-2,,MMV019017--R4-2,MMV019017--R4-2,EAW041,SRR10985726,MMV019017,False,original,5784154,1156830800,652
MMV007224--Fb,,MMV007224-Fb,MMV007224-Fb,EAW940,SRR10985727,MMV007224,False,original,4678453,935690600,474
MMV007224--AR1a,,MMV007224-AR1a,MMV007224-AR1a,EAW932,SRR10985728,MMV007224,False,original,4231638,846327600,431
MMV007181--075b,,MMV007181-0.75b,MMV007181-0.75b,EAW088,SRR10985729,MMV007181,False,original,3333999,666799800,340
MMV007181--R4-2,,MMV007181--R4-2,MMV007181--R4-2,EAW117,SRR10985730,MMV007181,False,original,5807164,1161432800,697
MMV007181--R3-2,,MMV007181--R3-2,MMV007181--R3-2,EAW116,SRR10985731,MMV007181,False,original,4712237,942447400,564
MMV007181--1a,,MMV007181--1a,MMV007181--1a,EAW089,SRR10985732,MMV007181,False,original,6072246,1214449200,617
DS30MMV006389--R4-2,,DS30MMV006389--R4-2,DS30MMV006389--R4-2,EAW040,SRR10985733,MMV006389,False,original,2189243,437848600,253
BMS983970-2R1g,,BMS983970-2R1g,BMS983970-2R1g,EAW724,SRR10985734,BMS983970,False,original,3997782,799556400,336
DS30MMV006389--R3-2,,DS30MMV006389--R3-2,DS30MMV006389--R3-2,EAW039,SRR10985735,MMV006389,False,original,1951526,390305200,228
DS30MMV006389--R2-2,,DS30MMV006389--R2-2,DS30MMV006389--R2-2,EAW038,SRR10985736,MMV006389,False,original,3528700,705740000,407
DS30MMV006389--R1-2,,DS30MMV006389--R1-2,DS30MMV006389--R1-2,EAW037,SRR10985737,MMV006389,False,original,3115835,623167000,363
MMV001246--R9-2,,MMV001246--R9-2,MMV001246--R9-2,EAW011,SRR10985738,MMV001246,False,original,4746474,949294800,572
MMV001246--R3a-2,,MMV001246--R3a-2,MMV001246--R3a-2,EAW036,SRR10985739,MMV001246,False,original,7689855,1537971000,867
MMV001246--R14-2,,MMV001246--R14-2,MMV001246--R14-2,EAW010,SRR10985740,MMV001246,False,original,4517056,903411200,540
MMV001239--R4-2,,MMV001239--R4-2,MMV001239--R4-2,EAW103,SRR10985741,MMV001239,False,original,3629049,725809800,432
MMV001239--R2-2,,MMV001239--R2-2,MMV001239--R2-2,EAW102,SRR10985742,MMV001239,False,original,5611439,1122287800,669
MMV001239--R1a-2,,MMV001239--R1a-2,MMV001239--R1a-2,EAW101,SRR10985743,MMV001239,False,original,6904333,1380866600,831
MMV001239--R11-2,,MMV001239--R11-2,MMV001239--R11-2,EAW104,SRR10985744,MMV001239,False,original,7935729,1587145800,949
BMS983970-2R1e,BMS983970-2R1e,BMS983970-2R1e,BMS983970-2R1e,EAW722,SRR10985745,BMS983970,False,original,5191882,1038376400,431
MMV000570--R4-2,,MMV000570--R4-2,MMV000570--R4-2,EAW114,SRR10985746,MMV000570,False,original,4157501,831500200,501
MMV000570--R3-2,,MMV000570--R3-2,MMV000570--R3-2,EAW113,SRR10985747,MMV000570,False,original,5173303,1034660600,620
MMV000570--R1-2,,MMV000570--R1-2,MMV000570--R1-2,EAW112,SRR10985748,MMV000570,False,original,4980738,996147600,598
MMV000570--6a,,MMV000570--6a,MMV000570--6a,EAW512,SRR10985749,MMV000570,False,original,2425123,485024600,228
MMV000570--5a,,MMV000570--5a,MMV000570--5a,EAW511,SRR10985750,MMV000570,False,original,2679034,535806800,252
MMV000570--4a,,MMV000570--4a,MMV000570--4a,EAW090,SRR10985751,MMV000570,False,original,2483976,496795200,232
MMV000570--3a,,MMV000570--3a,MMV000570--3a,EAW510,SRR10985752,MMV000570,False,original,2587614,517522800,244
MMV000570--2a,,MMV000570--2a,MMV000570--2a,EAW509,SRR10985753,MMV000570,False,original,3139928,627985600,296
MMV000570--1R2a,,MMV000570--1R2a,MMV000570--1R2a,EAW097,SRR10985754,MMV000570,False,original,2802859,560571800,286
MMV000570--10b,,MMV000570--10b,MMV000570--10b,EAW098,SRR10985755,MMV000570,False,original,3636790,727358000,366
BMS983970-2R1d,,BMS983970-2R1d,BMS983970-2R1d,EAW721,SRR10985756,BMS983970,False,original,6407321,1281464200,530
MMV000442-6--R3a,,MMV000442-6--R3a,MMV000442-6--R3a,EAW216,SRR10985757,MMV000442,False,original,5746399,1149279800,576
MMV000442-1--R3b,,MMV000442-1--R3b,MMV000442-1--R3b,EAW219,SRR10985758,MMV000442,False,original,6573204,1314640800,666
MMV000442--8-R5b,,MMV000442--8-R5b,MMV000442--8-R5b,EAW217,SRR10985759,MMV000442,False,original,4607701,921540200,419
MMV000442--7-R5b,,MMV000442--7-R5b,MMV000442--7-R5b,EAW220,SRR10985760,MMV000442,False,original,3355289,671057800,312
MMV000442--19-R8a,,MMV000442--19-R8a,MMV000442--19-R8a,EAW222,SRR10985761,MMV000442,False,original,3725110,745022000,346
MMV000442--17-R5a,,MMV000442--17-R5a,MMV000442--17-R5a,EAW221,SRR10985762,MMV000442,False,original,3504670,700934000,321
MMV000442--15-R5a,,MMV000442--15-R5a,MMV000442--15-R5a,EAW218,SRR10985763,MMV000442,False,original,3777768,755553600,350
Milt--4Res2a,,Milt--4Res2a,Milt--4Res2a,EAW156,SRR10985764,miltefosine,False,original,7049736,1403533106,646
Milt--3Res2a,,Milt--3Res2a,Milt--3Res2a,EAW155,SRR10985765,miltefosine,False,original,14349298,2856698200,1295
Miconazole--F63,,Miconazole--F63,Miconazole--F63,EAW009,SRR10985766,miconazole,False,original,5573162,1114632400,676
BMS983970-1R1b,,BMS983970-1R1b,BMS983970-1R1b,EAW720,SRR10985767,BMS983970,False,original,7873444,1574688800,641
Meb--4Res2c,,Meb--4Res2c,Meb--4Res2c,EAW167,SRR10985768,mebendazole,False,original,7111262,1415410724,649
Meb--1Res2a,,Meb--1Res2a,Meb--1Res2a,EAW152,SRR10985769,mebendazole,False,original,7160564,1425341342,659
Loratidine--7R6c,,Loratidine--7R6c,Loratidine--7R6c,EAW496,SRR10985770,loratadine,False,original,4534677,906935400,362
Loratidine--17R5a,,Loratidine--17R5a,Loratidine--17R5a,EAW499,SRR10985771,loratadine,False,original,4892974,978594800,394
Loratidine--16R5a,,Loratidine--16R5a,Loratidine--16R5a,EAW498,SRR10985772,loratadine,False,original,3645815,729163000,290
Lomerizine-32R5a,,Lomerizine-32 R5a,Lomerizine-32 R5a,EAW708,SRR10985773,lomerizine,False,original,5625504,1125100800,461
Lomerizine-31R5a,,Lomerizine-31 R5a,Lomerizine-31 R5a,EAW707,SRR10985774,lomerizine,False,original,5369648,1073929600,442
Lomerizine-3--R3a,,Lomerizine-3--R3a,Lomerizine-3--R3a,EAW293,SRR10985775,lomerizine,False,original,9770707,1954141400,984
Lomerizine-2--R3a,,Lomerizine-2--R3a,Lomerizine-2--R3a,EAW292,SRR10985776,lomerizine,False,original,6294879,1258975800,634
Lomerizine-1--R3a,,Lomerizine-1--R3a,Lomerizine-1--R3a,EAW291,SRR10985777,lomerizine,False,original,8440989,1688197800,848
BMS983970-1R1a,,BMS983970-1R1a,BMS983970-1R1a,EAW719,SRR10985778,BMS983970,False,original,6623254,1324650800,542
Lomerizine--27R3b,,Lomerizine--27R3b,Lomerizine--27R3b,EAW296,SRR10985779,lomerizine,False,original,4325502,865100400,347
Lomerizine--22R3a,,Lomerizine--22R3a,Lomerizine--22R3a,EAW297,SRR10985780,lomerizine,False,original,4032427,806485400,323
Lomerizine--21R3b,,Lomerizine--21R3b,Lomerizine--21R3b,EAW295,SRR10985781,lomerizine,False,original,3905546,781109200,314
Lomerizine--19R3a,,Lomerizine--19R3a,Lomerizine--19R3a,EAW294,SRR10985782,lomerizine,False,original,4435649,887129800,365
Lomerizine--18R3a,,Lomerizine--18R3a,Lomerizine--18R3a,EAW924,SRR10985783,lomerizine,False,original,5151880,1030376000,413
Lapatinib--3_R6b,,Lapatinib--3-R6b,Lapatinib--3-R6b,EAW193,SRR10985784,lapatinib,False,original,5777241,1155448200,571
Lapatanib--6R6b,,Lapatanib--6R6b,Lapatanib--6R6b,EAW179,SRR10985785,lapatinib,False,original,2024448,404889600,191
Lapatanib--6R6a,,Lapatanib--6R6a,Lapatanib--6R6a,EAW178,SRR10985786,lapatinib,False,original,2125666,425133200,199
Lapatanib--3R6c,,Lapatanib--3R6c,Lapatanib--3R6c,EAW177,SRR10985787,lapatinib,False,original,2320267,464053400,217
Lapatanib--1R6a,,Lapatanib--1R6a,Lapatanib--1R6a,EAW176,SRR10985788,lapatinib,False,original,3045936,609187200,278
ART--R5-2,,ART--R5-2,ART--R5-2,EAW055,SRR10985789,artemisinin,False,original,8603598,1720719600,924
PMA1--D1,,PMA1--D1,PMA1--D1,EAW918,SRR10985790,KAE609,False,original,9870797,1964856065,896
PMA1--C1,,PMA1--C1,PMA1--C1,EAW159,SRR10985791,KAE609,False,original,8237468,1639785845,753
PMA1--B4,,PMA1--B4,PMA1--B4,EAW158,SRR10985792,KAE609,False,original,8935353,1778661157,822
NITD609--R5,,NITD609--R5,NITD609--R5,EAW008,SRR10985793,KAE609,False,original,5051108,1010221600,609
NITD609--R2a-2,,NITD609--R2a-2,NITD609--R2a-2,EAW007,SRR10985794,KAE609,False,original,3704177,740835400,445
NITD609--R17,,NITD609--R17,NITD609--R17,EAW006,SRR10985795,KAE609,False,original,3182428,636485600,385
NITD609--661-2,,NITD609--661-2,NITD609--661-2,EAW120,SRR10985796,KAE609,False,original,3058951,611790200,370
NITD609--653-3,,NITD609--653-3,NITD609--653-3,EAW004,SRR10985797,KAE609,False,original,2545805,509161000,308
NITD609--652-2,,NITD609--652-2,NITD609--652-2,EAW121,SRR10985798,KAE609,False,original,7480005,1496001000,801
NITD609--633-2,,NITD609--633-2,NITD609--633-2,EAW003,SRR10985799,KAE609,False,original,4677608,935521600,565
ART--R3-2,,ART--R3-2,ART--R3-2,EAW026,SRR10985800,artemisinin,False,original,8610050,1722010000,975
KAE609--5B,,KAE609--5B,KAE609--5B,EAW182,SRR10985801,KAE609,False,original,2171284,434256800,207
KAAA726--R8a-2,,KAAA726--R8a-2,KAAA726--R8a-2,EAW133,SRR10985802,KAAA726,False,original,6319266,1263853200,530
HygromycinB--38R8a,,HygromycinB--38R8a,HygromycinB--38R8a,EAW359,SRR10985803,hygromycin B,False,original,2110712,422142400,172
HygromycinB--37R8a,,HygromycinB--37R8a,HygromycinB--37R8a,EAW358,SRR10985804,hygromycin B,False,original,2882262,576452400,232
HygromycinB--36R8a,HygromycinB-36R8a,HygromycinB--36R8a,HygromycinB--36R8a,EAW305,SRR10985805,hygromycin B,False,original,3153482,630696400,254
HygromycinB--35R8a,,HygromycinB--35R8a,HygromycinB--35R8a,EAW357,SRR10985806,hygromycin B,False,original,3117606,623521200,259
HygromycinB--34R8a,,HygromycinB--34R8a,HygromycinB--34R8a,EAW356,SRR10985807,hygromycin B,False,original,4210752,842150400,339
HygromycinB--32R8a,,HygromycinB--32R8a,HygromycinB--32R8a,EAW355,SRR10985808,hygromycin B,False,original,3526193,705238600,288
HygromycinB--30R8a,,HygromycinB--30R8a,HygromycinB--30R8a,EAW463,SRR10985809,hygromycin B,False,original,2487133,497426600,201
Hecto--7Res2a,,Hecto--7Res2a,Hecto--7Res2a,EAW149,SRR10985810,hectochlorin,False,original,7821246,1556880908,711
ART--R1-2,,ART--R1-2,ART--R1-2,EAW024,SRR10985811,artemisinin,False,original,2603424,520684800,301
Hecto--19Res2a,,Hecto--19Res2a,Hecto--19Res2a,EAW151,SRR10985812,hectochlorin,False,original,9525243,1896468215,866
Hecto--16Res2a,,Hecto--16Res2a,Hecto--16Res2a,EAW150,SRR10985813,hectochlorin,False,original,12318365,2452729320,1125
DS32--R7-2,,DS32--R7-2,DS32--R7-2,EAW031,SRR10985814,GNF-Pf-5672,False,original,2943909,588781800,316
DS23--R4-2,,DS23--R4-2,DS23--R4-2,EAW086,SRR10985815,GNF-Pf-5639,False,original,7554751,1510950200,822
DS23--R1-2,,DS23--R1-2,DS23--R1-2,EAW085,SRR10985816,GNF-Pf-5639,False,original,4775232,955046400,519
DS20--R4-2,,DS20--R4-2,DS20--R4-2,EAW084,SRR10985817,GNF-Pf-5468,False,original,5791058,1158211600,618
DS20--R3-2,,DS20--R3-2,DS20--R3-2,EAW083,SRR10985818,GNF-Pf-5468,False,original,4786865,957373000,516
DS33--R8-2,,DS33--R8-2,DS33--R8-2,EAW082,SRR10985819,GNF-Pf-5129,False,original,12069452,2413890400,1304
DS33--R2-2,,DS33--R2-2,DS33--R2-2,EAW081,SRR10985820,GNF-Pf-5129,False,original,13838583,2767716600,1502
DS4--R7-2,,DS4--R7-2,DS4--R7-2,EAW030,SRR10985821,GNF-Pf-4739,False,original,2469695,493939000,284
Aripiprazole-11--R2b,,Aripiprazole-11--R2b,Aripiprazole-11--R2b,EAW513,SRR10985822,aripiprazole,False,original,9244565,1848913000,928
Amitriptyline--g4R3b,,Amitriptyline--g4R3b,Amitriptyline--g4R3b,EAW241,SRR10985823,amitriptyline,False,original,4063848,812769600,398
Amitriptyline--g3R3a,,Amitriptyline--g3R3a,Amitriptyline--g3R3a,EAW240,SRR10985824,amitriptyline,False,original,3765223,753044600,371
DS4--R6-2,DS4-R6-2,DS4--R6-2,DS4--R6-2,EAW029,SRR10985825,GNF-Pf-4739,False,original,1445816,289163200,169
DS4--R11-2,,DS4--R11-2,DS4--R11-2,EAW914,SRR10985826,GNF-Pf-4739,False,original,2382227,476445400,275
DS4--R10-2,,DS4--R10-2,DS4--R10-2,EAW911,SRR10985827,GNF-Pf-4739,False,original,2813969,562793800,322
DS12--R4-2,,DS12--R4-2,DS12--R4-2,EAW081,SRR10985828,GNF-Pf-4583,False,original,11875824,2375164800,1268
GNFpf445--8-R4b,,GNFpf445--8-R4b,GNFpf445--8-R4b,EAW201,SRR10985829,GNF-Pf-445,False,original,5754065,1150813000,550
GNFpf445--7-R4a,,GNFpf445--7-R4a,GNFpf445--7-R4a,EAW413,SRR10985830,GNF-Pf-445,False,original,7038027,1407605400,676
GNFpf445--4-R3a,,GNFpf445--4-R3a,GNFpf445--4-R3a,EAW200,SRR10985831,GNF-Pf-445,False,original,6501088,1300217600,641
GNFpf445--2-R3b,,GNFpf445--2-R3b,GNFpf445--2-R3b,EAW202,SRR10985832,GNF-Pf-445,False,original,6884673,1376934600,672
GNFpf445--1-R3b,,GNFpf445--1-R3b,GNFpf445--1-R3b,EAW412,SRR10985833,GNF-Pf-445,False,original,5215149,1043029800,514
GNFPf4283--4R2b,,GNFPf4283--4R2b,GNFPf4283--4R2b,EAW344,SRR10985834,GNF-Pf-4283,False,original,2919602,583920400,302
AN7973-4R1f,,AN7973-4R1f,AN7973-4R1f,EAW717,SRR10985835,AN7973,False,original,5271634,1054326800,440
GNFPf4283--2R2a,,GNFPf4283--2R2a,GNFPf4283--2R2a,EAW343,SRR10985836,GNF-Pf-4283,False,original,3811391,762278200,386
DS29--R7-2,,DS29--R7-2,DS29--R7-2,EAW074,SRR10985837,GNF-Pf-4283,False,original,7625622,1525124400,817
DS29--R6-2,,DS29--R6-2,DS29--R6-2,EAW073,SRR10985838,GNF-Pf-4283,False,original,8959595,1791919000,952
GNFpf3891--8_R3a,,GNFpf3891--8-R3a,GNFpf3891--8-R3a,EAW191,SRR10985839,GNF-Pf-3891,False,original,5127090,1025418000,516
GNFpf3891--3_R3a,,GNFpf3891--3-R3a,GNFpf3891--3-R3a,EAW190,SRR10985840,GNF-Pf-3891,False,original,4976653,995330600,498
GNFpf3891--2_R3a,,GNFpf3891--2-R3a,GNFpf3891--2-R3a,EAW189,SRR10985841,GNF-Pf-3891,False,original,5657328,1131465600,559
GNFpf3891--11_R3a,,GNFpf3891--11-R3a,GNFpf3891--11-R3a,EAW192,SRR10985842,GNF-Pf-3891,False,original,5217666,1043533200,508
GNFpf3891--1_R3a,,GNFpf3891--1-R3a,GNFpf3891--1-R3a,EAW188,SRR10985843,GNF-Pf-3891,False,original,5454715,1090943000,543
DS27--R4-2,,DS27--R4-2,DS27--R4-2,EAW072,SRR10985844,GNF-Pf-3815,False,original,5711992,1142398400,614
DS27--R3-2,,DS27--R3-2,DS27--R3-2,EAW071,SRR10985845,GNF-Pf-3815,False,original,5145877,1029175400,552
AN7973-4R1e,,AN7973-4R1e,AN7973-4R1e,EAW716,SRR10985846,AN7973,False,original,7358366,1471673200,603
DS27--R2-2,,DS27--R2-2,DS27--R2-2,EAW070,SRR10985847,GNF-Pf-3815,False,original,4685624,937124800,506
DS27--R1-2,,DS27--R1-2,DS27--R1-2,EAW069,SRR10985848,GNF-Pf-3815,False,original,5208569,1041713800,566
DS11--R4-2,,DS11--R4-2,DS11--R4-2,EAW028,SRR10985849,GNF-Pf-3703,False,original,5745410,1149082000,654
DS11--R13-2,,DS11--R13-2,DS11--R13-2,EAW068,SRR10985850,GNF-Pf-3703,False,original,11478970,2295794000,1221
DS11--R12-2,,DS11--R12-2,DS11--R12-2,EAW067,SRR10985851,GNF-Pf-3703,False,original,11047710,2209542000,1181
DS11--R10-2,,DS11--R10-2,DS11--R10-2,EAW066,SRR10985852,GNF-Pf-3703,False,original,9115620,1823124000,983
DS28--R9-2,,DS28--R9-2,DS28--R9-2,EAW065,SRR10985853,GNF-Pf-3582,False,original,6818199,1363639800,730
DS28--R5-2,DS28-R5-2,DS28--R5-2,DS28--R5-2,EAW064,SRR10985854,GNF-Pf-3582,False,original,10467256,2093451200,1124
DS28--R2-2,,DS28--R2-2,DS28--R2-2,EAW063,SRR10985855,GNF-Pf-3582,False,original,10790195,2158039000,1160
DS7--R10-2,,DS7--R10-2,DS7--R10-2,EAW059,SRR10985856,GNF-Pf-2823,False,original,8168099,1633619800,878
AN7973-4R1d,,AN7973-4R1d,AN7973-4R1d,EAW715,SRR10985857,AN7973,False,original,4327945,865589000,358
DS17--R3-2,,DS17--R3-2,DS17--R3-2,EAW058,SRR10985858,GNF-Pf-2775,False,original,8795603,1759120600,941
DS17--R2-2,,DS17--R2-2,DS17--R2-2,EAW057,SRR10985859,GNF-Pf-2775,False,original,7838251,1567650200,841
GNFpf2740--15_R5a,GNF-Pf-2740-15R5a,GNFpf2740--15-R5a,GNFpf2740--15-R5a,EAW211,SRR10985860,GNF-Pf-2740,False,original,4149018,829803600,414
DS15--R7-2,,DS15--R7-2,DS15--R7-2,EAW056,SRR10985861,GNF-Pf-2740,False,original,4189600,837920000,450
GNFpf1618--9R2b,,GNFpf1618--9R2b,GNFpf1618--9R2b,EAW251,SRR10985862,GNF-Pf-1618,False,original,2807866,561573200,274
GNFpf1618--8R2a,,GNFpf1618--8R2a,GNFpf1618--8R2a,EAW250,SRR10985863,GNF-Pf-1618,False,original,2730272,546054400,269
GNFpf1618--7R2b,GNF-Pf-1618-7R2b,GNFpf1618--7R2b,GNFpf1618--7R2b,EAW249,SRR10985864,GNF-Pf-1618,False,original,2816775,563355000,280
GNFpf1618--6R2a,,GNFpf1618--6R2a,GNFpf1618--6R2a,EAW248,SRR10985865,GNF-Pf-1618,False,original,2881907,576381400,281
GNFpf1618--11R2a,,GNFpf1618--11R2a,GNFpf1618--11R2a,EAW247,SRR10985866,GNF-Pf-1618,False,original,2764279,552855800,270
Fly--7Res1b,,Fly--7Res1b,Fly--7Res1b,EAW147,SRR10985867,flucytosine,False,original,9753598,1941566810,896
AN7973-3R1c,,AN7973-3R1c,AN7973-3R1c,EAW714,SRR10985868,AN7973,False,original,5394567,1078913400,444
Fly--6Res1b,,Fly--6Res1b,Fly--6Res1b,EAW146,SRR10985869,flucytosine,False,original,8958874,1783304190,814
Fly--4Res1a,,Fly--4Res1a,Fly--4Res1a,EAW145,SRR10985870,flucytosine,False,original,9767499,1944301151,889
Fly--3Res2a,,Fly--3Res2a,Fly--3Res2a,EAW144,SRR10985871,flucytosine,False,original,8152869,1622771209,740
Fly--2Res2a,,Fly--2Res2a,Fly--2Res2a,EAW143,SRR10985872,flucytosine,False,original,7244314,1441909491,660
Fly--1Res2a,,Fly--1Res2a,Fly--1Res2a,EAW166,SRR10985873,flucytosine,False,original,10395592,2069513901,943
Everolimus--R7d-2,,Everolimus--R7d-2,Everolimus--R7d-2,EAW504,SRR10985874,everolimus,False,original,14691390,2938278000,1222
Everolimus--R5d-2,,Everolimus--R5d-2,Everolimus--R5d-2,EAW503,SRR10985875,everolimus,False,original,12558622,2511724400,1046
,,ParentStrain--GM-0,"ParentStrain--GM-0, Green Monster Replicate 4",,SRR14327619,,True,parents,4085411,817082200,365
,,ParentStrain--0_GM,"ParentStrain--0_GM, Green Monster Replicate 3",,SRR14327620,,True,parents,6490815,1298163000,610
,,ParentStrain--GM,"ParentStrain--GM, Green Monster Replicate 2",,SRR14327621,,True,parents,5802847,1160569400,572
,,ParentStrain--GM1,"ParentStrain--GM1, Green Monster Replicate 1",,SRR14327622,,True,parents,4330113,866022600,417
,,ParentStrain--0_Erg3,"ParentStrain--0_Erg3, Erg3 Replicate 1",,SRR14327623,,True,parents,7153561,1430712200,694
,,Pleio--1,"Pleio--1, Pleio Replicate 2",,SRR14327624,,True,parents,4180832,836166400,416
,,ParentStrain--Pleio,"ParentStrain--Pleio, Pleio Replicate 1",,SRR14327625,,True,parents,4452256,890451200,364
